sample_index,class_key,project,repo_id,focal_class,focal_path,module,scope_key,build_tool,java_version,complexity_half,nloc,token_count,method_count,public_method_count,max_method_cc,sum_method_cc,avg_method_cc,selection_rank_in_repo,original_manifest_index,split_name,evosuite_branch_coverage,gpt_branch_coverage,evosuite_compilation,gpt_compilation,evosuite_line_coverage,gpt_line_coverage,evosuite_method_coverage,gpt_method_coverage,evosuite_mutation_coverage,gpt_mutation_coverage,evosuite_strict_branch_coverage,gpt_strict_branch_coverage,evosuite_strict_line_coverage,gpt_strict_line_coverage,evosuite_strict_method_coverage,gpt_strict_method_coverage,evosuite_strict_mutation_coverage,gpt_strict_mutation_coverage,strict_mutation_diff_gpt_minus_evosuite,rq4_wilcoxon_shifted_value,strict_branch_diff_gpt_minus_evosuite
22,49384652:niubi-job-framework/niubi-job-core/src/main/java/com/zuoxiaolong/niubi/job/core/helper/objecthelper.java,49384652,49384652,ObjectHelper,niubi-job-framework/niubi-job-core/src/main/java/com/zuoxiaolong/niubi/job/core/helper/ObjectHelper.java,niubi-job-framework/niubi-job-core,maven:niubi-job-framework/niubi-job-core,Maven,1.8,lower_complexity_half,20,158,2,2,4,6,3.0,2,124,pilot60,30.0,,1,0,12.5,,33.33,,11.11,,30.0,0.0,12.5,0.0,33.33,0.0,11.11,0.0,-11.11,-6.109999999999999,-30.0
23,49384652:niubi-job-framework/niubi-job-service/src/main/java/com/zuoxiaolong/niubi/job/service/impl/standbyjobserviceimpl.java,49384652,49384652,StandbyJobServiceImpl,niubi-job-framework/niubi-job-service/src/main/java/com/zuoxiaolong/niubi/job/service/impl/StandbyJobServiceImpl.java,niubi-job-framework/niubi-job-service,maven:niubi-job-framework/niubi-job-service,Maven,1.8,higher_complexity_half,87,751,5,5,5,10,2.0,1,176,pilot60,0.0,,1,0,15.56,,50.0,,0.0,,0.0,0.0,15.56,0.0,50.0,0.0,0.0,0.0,0.0,5.0,0.0
24,558963:httpcache4j-api/src/main/java/org/codehaus/httpcache4j/header.java,558963,558963,Header,httpcache4j-api/src/main/java/org/codehaus/httpcache4j/Header.java,httpcache4j-api,maven:httpcache4j-api,Maven,1.8,lower_complexity_half,43,307,5,2,4,11,2.2,3,138,pilot60,85.71,,1,0,94.74,,100.0,,50.0,,85.71,0.0,94.74,0.0,100.0,0.0,50.0,0.0,-50.0,-45.0,-85.71
25,558963:httpcache4j-api/src/main/java/org/codehaus/httpcache4j/status.java,558963,558963,Status,httpcache4j-api/src/main/java/org/codehaus/httpcache4j/Status.java,httpcache4j-api,maven:httpcache4j-api,Maven,1.8,higher_complexity_half,160,1300,17,14,7,34,2.0,1,228,pilot60,66.67,73.33,1,1,91.21,95.6,100.0,100.0,12.5,87.5,66.67,73.33,91.21,95.6,100.0,100.0,12.5,87.5,75.0,80.0,6.659999999999997
26,60578004:elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/api/jobexecutionmultipleshardingcontext.java,60578004,60578004,JobExecutionMultipleShardingContext,elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/api/JobExecutionMultipleShardingContext.java,elastic-jobx-core,maven:elastic-jobx-core,Maven,1.6,lower_complexity_half,41,300,2,2,3,4,2.0,2,87,pilot60,,,1,1,80.0,80.0,100.0,88.89,0.0,66.67,0.0,0.0,80.0,80.0,100.0,88.89,0.0,66.67,66.67,71.67,0.0
27,60578004:elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/internal/server/serverservice.java,60578004,60578004,ServerService,elastic-jobx-core/src/main/java/com/dangdang/ddframe/job/internal/server/ServerService.java,elastic-jobx-core,maven:elastic-jobx-core,Maven,1.6,higher_complexity_half,85,749,17,15,4,25,1.4705882352941178,1,158,pilot60,0.0,,1,0,8.33,,5.88,,0.0,,0.0,0.0,8.33,0.0,5.88,0.0,0.0,0.0,0.0,5.0,0.0
28,61565876:injector/src/main/java/ch/jalu/injector/handlers/dependency/typesafeannotationhandler.java,61565876,61565876,TypeSafeAnnotationHandler,injector/src/main/java/ch/jalu/injector/handlers/dependency/TypeSafeAnnotationHandler.java,injector,maven:injector,Maven,1.8,lower_complexity_half,21,172,1,1,3,3,3.0,1,81,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
29,61565876:injector/src/main/java/ch/jalu/injector/utils/injectorutils.java,61565876,61565876,InjectorUtils,injector/src/main/java/ch/jalu/injector/utils/InjectorUtils.java,injector,maven:injector,Maven,1.8,higher_complexity_half,49,293,9,8,4,19,2.111111111111111,4,153,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
30,6293402:server/src/main/java/com/vaadin/data/provider/listdataprovider.java,6293402,6293402,ListDataProvider,server/src/main/java/com/vaadin/data/provider/ListDataProvider.java,server,maven:server,Maven,1.8,lower_complexity_half,66,458,9,7,2,11,1.2222222222222223,1,71,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
31,6293402:server/src/main/java/com/vaadin/util/currentinstance.java,6293402,6293402,CurrentInstance,server/src/main/java/com/vaadin/util/CurrentInstance.java,server,maven:server,Maven,1.8,higher_complexity_half,171,1180,12,8,6,37,3.0833333333333335,2,210,pilot60,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
32,6437134:enav-model/src/main/java/dk/dma/enav/safety/safetyzones.java,6437134,6437134,SafetyZones,enav-model/src/main/java/dk/dma/enav/safety/SafetyZones.java,enav-model,maven:enav-model,Maven,1.8,lower_complexity_half,43,555,4,4,1,4,1.0,4,24,pilot60,,,1,0,96.0,,100.0,,0.0,,0.0,0.0,96.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0.0
33,6437134:enav-model/src/main/java/dk/dma/enav/model/geometry/positiontime.java,6437134,6437134,PositionTime,enav-model/src/main/java/dk/dma/enav/model/geometry/PositionTime.java,enav-model,maven:enav-model,Maven,1.8,higher_complexity_half,81,810,12,10,4,19,1.5833333333333333,1,152,pilot60,100.0,50.0,1,1,100.0,87.8,100.0,66.67,23.08,20.51,100.0,50.0,100.0,87.8,100.0,66.67,23.08,20.51,-2.5699999999999967,2.4300000000000033,-50.0
34,64487983:bridge/src/main/java/com/iluwatar/bridge/app.java,64487983,64487983,App,bridge/src/main/java/com/iluwatar/bridge/App.java,bridge,maven:bridge,Maven,1.8,lower_complexity_half,20,132,1,1,1,1,1.0,1,0,pilot60,,,1,1,100.0,94.12,100.0,50.0,0.0,0.0,0.0,0.0,100.0,94.12,100.0,50.0,0.0,0.0,0.0,5.0,0.0
35,64487983:hexagonal/src/main/java/com/iluwatar/hexagonal/domain/lotteryticket.java,64487983,64487983,LotteryTicket,hexagonal/src/main/java/com/iluwatar/hexagonal/domain/LotteryTicket.java,hexagonal,maven:hexagonal,Maven,1.8,higher_complexity_half,54,291,6,5,10,17,2.8333333333333335,3,261,pilot60,100.0,,1,0,100.0,,100.0,,25.93,,100.0,0.0,100.0,0.0,100.0,0.0,25.93,0.0,-25.93,-20.93,-100.0
