sample_index,class_key,project,repo_id,focal_class,focal_path,module,scope_key,build_tool,java_version,complexity_half,nloc,token_count,method_count,public_method_count,max_method_cc,sum_method_cc,avg_method_cc,selection_rank_in_repo,original_manifest_index,split_name,arm,generator,prompt,compilation,fail_stage,branch_coverage,line_coverage,method_coverage,mutation_coverage,strict_branch_coverage,strict_line_coverage,strict_method_coverage,strict_mutation_coverage,failure_owner,failure_owner_note
16,46396068:hbase0.98/hbase-common-0.98/src/main/java/com/kakao/hbase/common/util/alertsender.java,46396068,46396068,AlertSender,hbase0.98/hbase-common-0.98/src/main/java/com/kakao/hbase/common/util/AlertSender.java,hbase0.98/hbase-common-0.98,maven:hbase0.98/hbase-common-0.98,Maven,1.8,lower_complexity_half,36,258,3,2,4,6,2.0,1,123,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
16,46396068:hbase0.98/hbase-common-0.98/src/main/java/com/kakao/hbase/common/util/alertsender.java,46396068,46396068,AlertSender,hbase0.98/hbase-common-0.98/src/main/java/com/kakao/hbase/common/util/AlertSender.java,hbase0.98/hbase-common-0.98,maven:hbase0.98/hbase-common-0.98,Maven,1.8,lower_complexity_half,36,258,3,2,4,6,2.0,1,123,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
17,46396068:hbase0.98/hbase-manager-0.98/src/main/java/com/kakao/hbase/manager/command/mc.java,46396068,46396068,MC,hbase0.98/hbase-manager-0.98/src/main/java/com/kakao/hbase/manager/command/MC.java,hbase0.98/hbase-manager-0.98,maven:hbase0.98/hbase-manager-0.98,Maven,1.8,higher_complexity_half,240,2130,13,2,12,56,4.3076923076923075,2,271,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
17,46396068:hbase0.98/hbase-manager-0.98/src/main/java/com/kakao/hbase/manager/command/mc.java,46396068,46396068,MC,hbase0.98/hbase-manager-0.98/src/main/java/com/kakao/hbase/manager/command/MC.java,hbase0.98/hbase-manager-0.98,maven:hbase0.98/hbase-manager-0.98,Maven,1.8,higher_complexity_half,240,2130,13,2,12,56,4.3076923076923075,2,271,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
18,46450575:flo-workflow/src/main/java/com/spotify/flo/context/asynccontext.java,46450575,46450575,AsyncContext,flo-workflow/src/main/java/com/spotify/flo/context/AsyncContext.java,flo-workflow,maven:flo-workflow,Maven,1.8,lower_complexity_half,41,327,6,5,1,6,1.0,1,28,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
18,46450575:flo-workflow/src/main/java/com/spotify/flo/context/asynccontext.java,46450575,46450575,AsyncContext,flo-workflow/src/main/java/com/spotify/flo/context/AsyncContext.java,flo-workflow,maven:flo-workflow,Maven,1.8,lower_complexity_half,41,327,6,5,1,6,1.0,1,28,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
19,46450575:flo-workflow/src/main/java/com/spotify/flo/taskids.java,46450575,46450575,TaskIds,flo-workflow/src/main/java/com/spotify/flo/TaskIds.java,flo-workflow,maven:flo-workflow,Maven,1.8,higher_complexity_half,47,348,4,2,5,10,2.5,9,181,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
19,46450575:flo-workflow/src/main/java/com/spotify/flo/taskids.java,46450575,46450575,TaskIds,flo-workflow/src/main/java/com/spotify/flo/TaskIds.java,flo-workflow,maven:flo-workflow,Maven,1.8,higher_complexity_half,47,348,4,2,5,10,2.5,9,181,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
20,48046454:hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/jetclientinstanceimpl.java,48046454,48046454,JetClientInstanceImpl,hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/JetClientInstanceImpl.java,hazelcast-jet-core,maven:hazelcast-jet-core,Maven,1.8,lower_complexity_half,103,781,14,10,2,15,1.0714285714285714,3,76,pilot60,gpt,gpt-4o-mini-2024-07-18,rbl4-zero-shot,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
20,48046454:hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/jetclientinstanceimpl.java,48046454,48046454,JetClientInstanceImpl,hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/JetClientInstanceImpl.java,hazelcast-jet-core,maven:hazelcast-jet-core,Maven,1.8,lower_complexity_half,103,781,14,10,2,15,1.0714285714285714,3,76,pilot60,evosuite,evosuite,-,0,missing_or_failed_output,,,,,0.0,0.0,0.0,0.0,agonetest_harness,AgoneTest/RBL4 runner chưa đo/trích xuất được metric rõ ràng; không quy trực tiếp cho năng lực sinh test.
