repo_id,run_id,attempt_no,command,command_source,working_directory,exit_code,status,failure_category,recoverability,log_path,duration_seconds,timestamp_start,timestamp_end
58317819,20260712_230641,3,gradle testClasses -x test -x integrationTest -x checkstyleMain -x checkstyleTest -x spotlessCheck,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/58317819,1,failed,dependency_resolution_failed,needs_manual_review,logs/build/58317819_20260712_230641_attempt_3.log,7.82,1783880186.7245796,1783880194.5465257
9665465,20260712_230641,1,mvn test-compile -DskipTests,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/9665465,1,failed,source_compile_failed,needs_manual_review,logs/build/9665465_20260712_230641_attempt_1.log,2.86,1783880211.1793394,1783880214.041384
9665465,20260712_230641,2,mvn test-compile -DskipTests -DskipITs,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/9665465,1,failed,source_compile_failed,needs_manual_review,logs/build/9665465_20260712_230641_attempt_2.log,2.78,1783880214.0433784,1783880216.8274674
9665465,20260712_230641,3,mvn test-compile -DskipTests -DskipITs -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dlicense.skip=true -Dgpg.skip=true,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/9665465,1,failed,source_compile_failed,needs_manual_review,logs/build/9665465_20260712_230641_attempt_3.log,2.81,1783880216.8294957,1783880219.6348152
9665465,20260712_230641,4,mvn test-compile -DskipTests -DskipITs -Ddocker.skip=true -DskipDocker -Dfrontend.skip=true -DskipNpm,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/9665465,1,failed,source_compile_failed,needs_manual_review,logs/build/9665465_20260712_230641_attempt_4.log,2.82,1783880219.6368356,1783880222.460317
36020033,20260712_230641,1,mvn test-compile -DskipTests,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/36020033,1,failed,unknown_build_failure,needs_manual_review,logs/build/36020033_20260712_230641_attempt_1.log,4.24,1783880268.8040838,1783880273.0472066
36020033,20260712_230641,2,mvn test-compile -DskipTests -DskipITs,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/36020033,1,failed,unknown_build_failure,needs_manual_review,logs/build/36020033_20260712_230641_attempt_2.log,2.82,1783880273.050335,1783880275.87393
36020033,20260712_230641,3,mvn test-compile -DskipTests -DskipITs -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dlicense.skip=true -Dgpg.skip=true,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/36020033,1,failed,unknown_build_failure,needs_manual_review,logs/build/36020033_20260712_230641_attempt_3.log,2.70,1783880275.876435,1783880278.5796845
36020033,20260712_230641,4,mvn test-compile -DskipTests -DskipITs -Ddocker.skip=true -DskipDocker -Dfrontend.skip=true -DskipNpm,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/36020033,1,failed,unknown_build_failure,needs_manual_review,logs/build/36020033_20260712_230641_attempt_4.log,2.69,1783880278.5822182,1783880281.2714071
56853150,20260712_230641,1,gradle testClasses -x test,template,D:/material/SWT301/rsbln/New folder/data_v2/repos/cloned/56853150,1,failed,unknown_build_failure,needs_manual_review,logs/build/56853150_20260712_230641_attempt_1.log,1.85,1783880294.9161496,1783880296.762554
