"schema_version","recipe_id","repo_id","repo_url","commit_sha","declared_java_version","effective_java_runtime","build_tool","scope_key","build_root_relative","module_dir_relative","module_selector","recipe","command_source","working_directory_placeholder","portable_command_windows","portable_command_posix","validation_log_relative","validation_log_sha256","original_command_sha256","source_or_dependency_files_modified","validated_at"
"v3-portable-recipe-1","v3:60578004:maven:elastic-jobx-core","60578004","https://github.com/artoderk/elastic-jobx","1431671595cee4222e4445fc80b5b14e6262d7b8","6","8","maven","maven:elastic-jobx-core",".","elastic-jobx-core","elastic-jobx-core","global_environment_maven_module","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\elastic-jobx-core\pom.xml"" clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/elastic-jobx-core/pom.xml"" clean test-compile","logs/build/60578004_maven_elastic-jobx-core_1.log","4ec40a7f9575386848def2b75f353a9c7ea57d97a3a663572d4864e4ff4f1f14","229aa3cbdbe6bc8112d098e65227a923f09aff4dd135216322ed1c90e842c1e9","false","2026-07-22T23:53:31+00:00"
"v3-portable-recipe-1","v3:74999474:gradle:parsec-clients","74999474","https://github.com/yahoo/parsec-libraries","142bc4c95a8ca7b8c82f7f95d8144cb6d4bc2096","unknown","8","gradle","gradle:parsec-clients",".","parsec-clients","parsec-clients","repository_wrapper_gradle_module","repository_wrapper","${REPO_DIR}","""${REPO_DIR}\gradlew.bat"" --no-daemon --console=plain --stacktrace :parsec-clients:clean :parsec-clients:testClasses -x test","""${REPO_DIR}/gradlew"" --no-daemon --console=plain --stacktrace :parsec-clients:clean :parsec-clients:testClasses -x test","logs/build/74999474_gradle_parsec-clients_1.log","7da3547bdfc6ccb27e3cf26975c69d7efaf7b3975fd28a40d8d097c2fa88a432","ee7c6515ef2f6b0bed206c3b175486a0a5d4ad0752644951ec028c850b121b01","false","2026-07-23T00:07:52+00:00"
"v3-portable-recipe-1","v3:9884445:maven:minnal-jaxrs/minnal-instrumentation-jaxrs","9884445","https://github.com/minnal/minnal","50989185555e0d8969319bb20ae8e596db4ff545","7","8","maven","maven:minnal-jaxrs/minnal-instrumentation-jaxrs",".","minnal-jaxrs/minnal-instrumentation-jaxrs","minnal-jaxrs/minnal-instrumentation-jaxrs","global_environment_maven_reactor","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\pom.xml"" -pl minnal-jaxrs/minnal-instrumentation-jaxrs -am clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/pom.xml"" -pl minnal-jaxrs/minnal-instrumentation-jaxrs -am clean test-compile","logs/build/9884445_maven_minnal-jaxrs_minnal-instrumentation-jaxrs_3.log","cbefacaf17ed48142aac260859ea535452901b558fefda3e0aeb0d9269fca693","9fc9553d0065ec9c7d12d8baede433f39dc97a8d485b7180c65701b5f3a0ecca","false","2026-07-23T00:10:22+00:00"
"v3-portable-recipe-1","v3:558963:maven:httpcache4j-api","558963","https://github.com/httpcache4j/httpcache4j","9c07ebd63cd104a99eb9e771f760f14efa4fe0f6","8","8","maven","maven:httpcache4j-api",".","httpcache4j-api","httpcache4j-api","global_environment_maven_module","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\httpcache4j-api\pom.xml"" clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/httpcache4j-api/pom.xml"" clean test-compile","logs/build/558963_maven_httpcache4j-api_1.log","4a1d7362f7a73083136716e68239d1e70860662b8740a609d8417e9388bdc92d","b35bb83bd370147d98dd3a956f0643f003170b3f1201648de377e94e55be32ff","false","2026-07-23T00:18:46+00:00"
"v3-portable-recipe-1","v3:46450575:maven:flo-workflow","46450575","https://github.com/spotify/flo","91d2e546bc8fa8e6fee9bc8c6dd484d87db3b0af","unknown","8","maven","maven:flo-workflow",".","flo-workflow","flo-workflow","global_environment_maven_reactor","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\pom.xml"" -pl flo-workflow -am clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/pom.xml"" -pl flo-workflow -am clean test-compile","logs/build/46450575_maven_flo-workflow_3.log","e16319016acd11b07e5d2c8a410125fb7396c77f2769b80a085be660012d5222","977b3b9b3aa39f63d4446228d427a6ff6965aac3238fc99d4f8ea5ff1d2dc802","false","2026-07-23T00:19:11+00:00"
"v3-portable-recipe-1","v3:46450575:maven:contrib/flo-bigquery","46450575","https://github.com/spotify/flo","91d2e546bc8fa8e6fee9bc8c6dd484d87db3b0af","unknown","8","maven","maven:contrib/flo-bigquery",".","contrib/flo-bigquery","contrib/flo-bigquery","global_environment_maven_reactor","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\pom.xml"" -pl contrib/flo-bigquery -am clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/pom.xml"" -pl contrib/flo-bigquery -am clean test-compile","logs/build/46450575_maven_contrib_flo-bigquery_3.log","7842eca35fc0e2792ba92a1ebf1e924af65874f5c8729b022c804d6119dc9e0f","2573643279872869eaff11860576f1bff24c9e8a427952b1d5a04f255fb8a4aa","false","2026-07-23T00:19:34+00:00"
"v3-portable-recipe-1","v3:46450575:maven:contrib/flo-styx","46450575","https://github.com/spotify/flo","91d2e546bc8fa8e6fee9bc8c6dd484d87db3b0af","unknown","8","maven","maven:contrib/flo-styx",".","contrib/flo-styx","contrib/flo-styx","global_environment_maven_reactor","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\pom.xml"" -pl contrib/flo-styx -am clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/pom.xml"" -pl contrib/flo-styx -am clean test-compile","logs/build/46450575_maven_contrib_flo-styx_3.log","b988d0a2a97a0064cfa47713b9b5325057ea242c51fe2bc8a03ba5fa23c89e78","5a95daad122a3c892317d015f57a033e3c82723bb060f94119228a02ba30d5a5","false","2026-07-23T00:19:54+00:00"
"v3-portable-recipe-1","v3:64487983:maven:hexagonal","64487983","https://github.com/ErnestMing/JavaDesignPartternImpl","34431d71b4a00ef79895db9aaca30020baace209","8","8","maven","maven:hexagonal",".","hexagonal","hexagonal","global_environment_maven_module","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\hexagonal\pom.xml"" clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/hexagonal/pom.xml"" clean test-compile","logs/build/64487983_maven_hexagonal_1.log","e35a5cc4a09ea82f63b90252a05fd76bdf20efffa64e14484bd96515c4a4a75f","3b67b2627b893887d29240bd62c8160e0109e5c8363aeb18b3238f37f4feb461","false","2026-07-23T00:30:51+00:00"
"v3-portable-recipe-1","v3:64487983:maven:bridge","64487983","https://github.com/ErnestMing/JavaDesignPartternImpl","34431d71b4a00ef79895db9aaca30020baace209","8","8","maven","maven:bridge",".","bridge","bridge","global_environment_maven_module","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\bridge\pom.xml"" clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/bridge/pom.xml"" clean test-compile","logs/build/64487983_maven_bridge_1.log","fbc0c29f7bc88909b32a2128803c6fc04d60e7ccc2d81096fbd78206c6e35557","3d94fda1f08cf9ed73c1477af237e5bd24616ecf0ecbd5e737307b7f80b7de45","false","2026-07-23T00:30:56+00:00"
"v3-portable-recipe-1","v3:64487983:maven:dependency-injection","64487983","https://github.com/ErnestMing/JavaDesignPartternImpl","34431d71b4a00ef79895db9aaca30020baace209","8","8","maven","maven:dependency-injection",".","dependency-injection","dependency-injection","global_environment_maven_module","global_environment","${REPO_DIR}","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}\dependency-injection\pom.xml"" clean test-compile","mvn -B -ntp -DskipTests -DskipITs -f ""${REPO_DIR}/dependency-injection/pom.xml"" clean test-compile","logs/build/64487983_maven_dependency-injection_1.log","15c1b41cd372b2dcdc9fbd4bc5ea56c086e890b94d5f0f88655b7f2f48be3939","ffcfde466eeb87550bb8b842b94bbe0ba5af6b2a8d0e257c1b506676e97e61e3","false","2026-07-23T00:31:02+00:00"
