id,title,authors,year,venue,search_strings
100,Automated Unit Test Refactoring,"Gao, Yi; Hu, Xing; Yang, Xiaohu; Xia, Xin",2025,Proceedings of the ACM on Software Engineering,"String A, String B, String C"
101,Automated Validation of COBOL to Java Transformation,"Kumar, Atul; Saha, Diptikalyan; Yasue, Toshiaki; Ono, Kohichi; Krishnan, Saravanan; Hans, Sandeep; Satoh, Fumiko; Mitchell, Gerald; Kumar, Sachin",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,"String A, String B, String C"
102,Automatic Generation of Test Cases based on Bug Reports: a Feasibility Study with Large Language Models,"Plein, Laura; Ouédraogo, Wendkûuni C.; Klein, Jacques; Bissyandé, Tegawendé F.",2024,Proceedings of the 2024 IEEE/ACM 46th International Conference on Software Engineering: Companion Proceedings,String A
103,Automatic Library Migration Using Large Language Models: First Results,"Almeida, Aylton; Xavier, Laerte; Valente, Marco Tulio",2024,Proceedings of the 18th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,String A
104,Automatic Programming: Large Language Models and Beyond,"Lyu, Michael R.; Ray, Baishakhi; Roychoudhury, Abhik; Tan, Shin Hwei; Thongtanunam, Patanamon",2025,ACM Transactions on Software Engineering and Methodology,String A
105,Automatic Repair of Quantum Programs via Unitary Operation,"Li, Yuechen; Pei, Hanyu; Huang, Linzhi; Yin, Beibei; Cai, Kai-Yuan",2024,ACM Transactions on Software Engineering and Methodology,String B
106,Automatic Semantic Augmentation of Language Model Prompts (for Code Summarization),"Ahmed, Toufique; Pai, Kunal Suresh; Devanbu, Premkumar; Barr, Earl",2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,String A
107,Automatic Test Case Generation for Jasper App HDL Compiler: An Industry Experience,"Crepalde, Mirlaine; Mafra, Augusto; Cavalini, Lucas; Martins, Lucas; Amorim, Guilherme; Santos, Pedro Henrique; Peixoto, Fabiano",2025,Proceedings of the 34th ACM SIGPLAN International Conference on Compiler Construction,String A
108,Automatically Engineering Trusted Software: A Research Roadmap,"Brun, Yuriy; Chakraborty, Saikat; Le Goues, Claire; Păsăreanu, Corina; Singla, Adish",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B"
109,Automatically Inspecting Thousands of Static Bug Warnings with Large Language Model: How Far Are We?,"Wen, Cheng; Cai, Yuandao; Zhang, Bin; Su, Jie; Xu, Zhiwu; Liu, Dugang; Qin, Shengchao; Ming, Zhong; Cong, Tian",2024,ACM Transactions on Knowledge Discovery from Data,"String A, String B"
