id,title,authors,year,venue,search_strings
267,Hallucination to Consensus: Multi-Agent LLMs for End-to-End JUnit Test Generation,"Xu, Qinghua; Wang, Guancheng; Briand, Lionel; Liu, Kui",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B, String C"
268,Harden and Catch for Just-in-Time Assured LLM-Based Software Testing: Open Research Challenges,"Harman, Mark; O'Hearn, Peter; Sengupta, Shubho",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,"String A, String B, String C"
269,History-Driven Fuzzing for Deep Learning Libraries,"Shiri Harzevili, Nima; Mohajer, Mohammad Mahdi; Wei, Moshi; Pham, Hung Viet; Wang, Song",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B"
270,How Beginning Programmers and Code LLMs (Mis)read Each Other,"Nguyen, Sydney; Babe, Hannah McLean; Zi, Yangtian; Guha, Arjun; Anderson, Carolyn Jane; Feldman, Molly Q",2024,Proceedings of the CHI Conference on Human Factors in Computing Systems,String B
271,How Do Analysts Understand and Verify AI-Assisted Data Analyses?,"Gu, Ken; Shang, Ruoxi; Althoff, Tim; Wang, Chenglong; Drucker, Steven M.",2024,Proceedings of the CHI Conference on Human Factors in Computing Systems,String A
272,How Does Simulation-Based Testing for Self-Driving Cars Match Human Perception?,"Birchler, Christian; Mohammed, Tanzil Kombarabettu; Rani, Pooja; Nechita, Teodora; Kehrer, Timo; Panichella, Sebastiano",2024,Proceedings of the ACM on Software Engineering,String B
273,How Execution Features Relate to Failures: An Empirical Study and Diagnosis Approach,"Smytzek, Marius; Eberlein, Martin; Grunske, Lars; Zeller, Andreas",2025,ACM Transactions on Software Engineering and Methodology,String B
274,How Multi-Modal LLMs Reshape Visual Deep Learning Testing? A Comprehensive Study Through the Lens of Image Mutation,"Wang, Liwen; Yuan, Yuanyuan; Sun, Ao; Li, Zongjie; Ma, Pingchuan; Wu, Daoyuan; Wang, Shuai",2026,ACM Transactions on Software Engineering and Methodology,String B
275,How Scientists Use Large Language Models to Program,"O'Brien, Gabrielle",2025,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,String A
276,How far have we been on the path of LLM-enhanced vulnerability detection,"Shen, Wuqiang; Yang, Yi; Zhang, Xiaolu; Cui, Lei; Wang, Yechao",2025,Proceedings of the 2025 International Symposium on Artificial Intelligence and Computational Social Sciences,String B
277,Human-AI Collaboration in Software Engineering: Lessons Learned from a Hands-On Workshop,"Hamza, Muhammad; Siemon, Dominik; Akbar, Muhammad Azeem; Rahman, Tahsinur",2024,Proceedings of the 7th ACM/IEEE International Workshop on Software-intensive Business,String A
278,HumanEval-V: Systematic Evaluation of Visual Reasoning in Large Multimodal Models for Code Generation,"Zhang, Fengji; Wu, Linquan; Bai, Huiyu; Lin, Guancheng; Li, Xiao; Yu, Xiao; Wang, Yue; Chen, Bei; Keung, Jacky",2026,ACM Transactions on Software Engineering and Methodology,String B
279,HumanEvalComm: Benchmarking the Communication Competence of Code Generation for LLMs and LLM Agents,"Wu, Jie Jw; Fard, Fatemeh H.",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B"
280,Hybrid Automated Program Repair by Combining Large Language Models and Program Analysis,"Li, Fengjie; Jiang, Jiajun; Sun, Jiajun; Zhang, Hongyu",2025,ACM Transactions on Software Engineering and Methodology,String A
281,ICAM-Trans: Implicit-Context-Aware Multi-Agent Framework for Function-Level Code Translation,"Chen, Ruolin; Wang, Jiexin; Cao, Liuwen; Cai, Yi; Zhao, Mengchen",2026,ACM Transactions on Software Engineering and Methodology,String A
282,"If At First You Don’t Succeed, Try, Try, Again...? Insights and LLM-informed Tooling for Detecting Retry Bugs in Software Systems","Stoica, Bogdan Alexandru; Sethi, Utsav; Su, Yiming; Zhou, Cyrus; Lu, Shan; Mace, Jonathan; Musuvathi, Madanlal; Nath, Suman",2024,Proceedings of the ACM SIGOPS 30th Symposium on Operating Systems Principles,String B
283,Improved Program Repair Methods using Refactoring with GPT Models,"Ishizue, Ryosuke; Sakamoto, Kazunori; Washizaki, Hironori; Fukazawa, Yoshiaki",2024,Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 1,String A
284,Improving Deep Assertion Generation via Fine-Tuning Retrieval-Augmented Pre-Trained Language Models,"Zhang, Quanjun; Fang, Chunrong; Zheng, Yi; Zhang, Yaxin; Zhao, Yuan; Huang, Rubing; Zhou, Jianyi; Yang, Yun; Zheng, Tao; Chen, Zhenyu",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B"
285,Improving FIM Code Completions via Context & Curriculum Based Learning,"Sagtani, Hitesh; Mehrotra, Rishabh; Liu, Beyang",2025,Proceedings of the Eighteenth ACM International Conference on Web Search and Data Mining,String A
286,In-Context Learning as an Effective Estimator of Functional Correctness of LLM-Generated Code,"Das, Susmita; Ghosh, Madhusudan; Swami, Priyanka; Ganguly, Debasis; Calikli, Gul",2025,Proceedings of the 48th International ACM SIGIR Conference on Research and Development in Information Retrieval,String A
287,Increasing Test Coverage by Automating BDD Tests in Proofs of Concepts (POCs) using LLM,"Santos, Shexmo Richarlison Ribeiro Dos; Fernandes, Raiane Eunice S.; Santos, Marcos Cesar Barbosa Dos; Soares, Michel S.; Rocha, Fabio Gomes; Marczak, Sabrina",2024,Proceedings of the XXIII Brazilian Symposium on Software Quality,"String A, String B, String C"
288,Individualized Quizzes From Student Code with LLMs,"Novak, Ed; McDanel, Bradley",2026,Proceedings of the 57th ACM Technical Symposium on Computer Science Education V.2,String A
289,"Integrating LLMs in Software Engineering Education: Motivators, Demotivators, and a Roadmap Towards a Framework for Finnish Higher Education Institutes","Khan, Maryam; Akbar, Muhammad Azeem; Kasurinen, Jussi",2025,Proceedings of the 2025 29th International Conference on Evaluation and Assessment in Software Engineering Companion,String A
290,Interleaving Large Language Models for Compiler Testing,"Ni, Yunbo; Li, Shaohua",2025,Proceedings of the ACM on Programming Languages,String B
291,Investigating Documented Privacy Changes in Android OS,"Yan, Chuan; Meng, Mark Huasong; Xie, Fuman; Bai, Guangdong",2024,Proceedings of the ACM on Software Engineering,String A
292,JavaBench: A Benchmark of Object-Oriented Code Generation for Evaluating Large Language Models,"Cao, Jialun; Chen, Zhiyong; Wu, Jiarong; Cheung, Shing-Chi; Xu, Chang",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,"String A, String B"
293,Just-In-Time Quality Assurance with Assistance of Automated Defect Prediction and Code Testing,"Tian, Dawei; Song, Liyan; Su, Xiaohong",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B, String C"
294,Kitten: A Simple Yet Effective Baseline for Evaluating LLM-Based Compiler Testing Techniques,"Xie, Yuanmin; Xu, Zhenyang; Tian, Yongqiang; Zhou, Min; Zhou, Xintong; Sun, Chengnian",2025,Proceedings of the 34th ACM SIGSOFT International Symposium on Software Testing and Analysis,String B
295,Knowledge Transfer from High-Resource to Low-Resource Programming Languages for Code LLMs,"Cassano, Federico; Gouwar, John; Lucchetti, Francesca; Schlesinger, Claire; Freeman, Anders; Anderson, Carolyn Jane; Feldman, Molly Q; Greenberg, Michael; Jangda, Abhinav; Guha, Arjun",2024,Proceedings of the ACM on Programming Languages,"String A, String B"
296,LDMDroid: Leveraging LLMs for Detecting Data Manipulation Errors in Android Apps,"Xiao, Xiangyang; Huang, Huaxun; Wu, Rongxin",2026,ACM Transactions on Software Engineering and Methodology,String B
297,LEAM++: Learning for Selective Mutation Fault Construction,"Tian, Zhao; Chen, Junjie; Wang, Dong; Zhu, Qihao; Fan, Xingyu; Zhang, Lingming",2025,ACM Transactions on Software Engineering and Methodology,String B
298,LIReDroid: LLM-Enhanced Test Case Generation for Static Sensitive Behavior Replication,"Wang, Yin; Fan, Ming; Zhang, Xicheng; Shi, Jifei; Qiu, Zhaoyu; Wang, Haijun; Liu, Ting",2024,Proceedings of the 15th Asia-Pacific Symposium on Internetware,String A
299,LLM for Mobile: An Initial Roadmap,"Chen, Daihang; Liu, Yonghui; Zhou, Mingyi; Zhao, Yanjie; Wang, Haoyu; Wang, Shuai; Chen, Xiao; Bissyandé, Tegawendé F.; Klein, Jacques; Li, Li",2025,ACM Transactions on Software Engineering and Methodology,String A
300,LLM-Based Code Generation Method for Golang Compiler Testing,"Gu, Qiuhan",2023,Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,String B
301,LLM-Based Misconfiguration Detection for AWS Serverless Computing,"Wen, Jinfeng; Chen, Zhenpeng; Zhu, Zixi; Sarro, Federica; Liu, Yi; Ping, Haodi; Wang, Shangguang",2026,ACM Transactions on Software Engineering and Methodology,String A
302,LLM-CompDroid: Repairing Configuration Compatibility Bugs in Android Apps with Pre-trained Large Language Models,"Liu, Zhijie; Tang, Yutian; Li, Meiyun; Jin, Xin; Long, Yunfei; Zhang, Liang Feng; Luo, Xiapu",2026,ACM Transactions on Software Engineering and Methodology,String A
303,LLM-Empowered Three-Dimensional Synergetic Teaching Model and Practice in Programming Education,"Huang, Wanrong; Li, Shijie; Yang, Shaowu; Dong, Wei; Tang, Yuhua",2025,Proceedings of the 2025 2nd International Symposium on Artificial Intelligence for Education,String A
304,LLM-Enhanced Test Case Prioritization for Complex Software Systems,"Zosimadis, Ilias; Stamelos, Ioannis",2024,Proceedings of the 28th Pan-Hellenic Conference on Progress in Computing and Informatics,String B
305,LLM-Explorer: Towards Efficient and Affordable LLM-based Exploration for Mobile Apps,"Zhao, Shanhui; Wen, Hao; Du, Wenjie; Liang, Cheng; Liu, Yunxin; Ye, Xiaozhou; Ouyang, Ye; Li, Yuanchun",2025,Proceedings of the 31st Annual International Conference on Mobile Computing and Networking,"String A, String B"
306,LLM-Powered Silent Bug Fuzzing in Deep Learning Libraries via Versatile and Controlled Bug Transfer,"Zhang, Kunpeng; Xiao, Dongwei; Wu, Daoyuan; Wang, Shuai; Zhao, Jiali; Lin, Yuanyi; Xu, Tongtong; Wang, Shaohua",2026,Proceedings of the ACM on Programming Languages,String A
307,LLM-based and Retrieval-Augmented Control Code Generation,"Koziolek, Heiko; Grüner, Sten; Hark, Rhaban; Ashiwal, Virendra; Linsbauer, Sofia; Eskandani, Nafise",2024,Proceedings of the 1st International Workshop on Large Language Models for Code,String A
308,LLM4FP: LLM-Based Program Generation for Triggering Floating-Point Inconsistencies Across Compilers,"Wang, Yutong; Rubio-González, Cindy",2025,"Proceedings of the SC '25 Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis",String A
309,LLM4Fin: Fully Automating LLM-Powered Test Case Generation for FinTech Software Acceptance Testing,"Xue, Zhiyi; Li, Liangguo; Tian, Senyue; Chen, Xiaohong; Li, Pingping; Chen, Liangyu; Jiang, Tingting; Zhang, Min",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String B
310,LLM4TDD: Best Practices for Test Driven Development Using Large Language Models,"Piya, Sanyogita; Sullivan, Allison",2024,Proceedings of the 1st International Workshop on Large Language Models for Code,String A
311,LLMs and Prompting for Unit Test Generation: A Large-Scale Evaluation,"Ouedraogo, Wendkuuni C.; Kabore, Kader; Tian, Haoye; Song, Yewei; Koyuncu, Anil; Klein, Jacques; Lo, David; Bissyande, Tegawende F.",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,"String A, String B"
312,LLMs for Intelligent Software Testing: A Comparative Study,"Boukhlif, Mohamed; Kharmoum, Nassim; Hanine, Mohamed",2024,"Proceedings of the 7th International Conference on Networking, Intelligent Systems and Security","String A, String B, String C"
313,LRASGen: LLM-based RESTful API Specification Generation,"Deng, Sida; Huang, Rubing; Zhang, Man; Cui, Chenhui; Towey, Dave; Wang, Rongcun",2026,ACM Transactions on Software Engineering and Methodology,String A
314,LSPAI: An IDE Plugin for LLM-Powered Multi-Language Unit Test Generation with Language Server Protocol,"Go, Gwihwan; Zhou, Chijin; Zhang, Quan; Jiang, Yu; Wei, Zhao",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,"String A, String B"
315,Large Language Model Driven Automated Network Protocol Testing,"Wei, Yunze; Chi, Kaiwen; Du, Shibo; Xie, Xiaohui; Geng, Ziyu; Han, Yuwei; Li, Zhen; Li, Zhanyou; Cui, Yong",2025,Proceedings of the Applied Networking Research Workshop on ZZZ,String A
316,Large Language Model Supply Chain: A Research Agenda,"Wang, Shenao; Zhao, Yanjie; Hou, Xinyi; Wang, Haoyu",2025,ACM Transactions on Software Engineering and Methodology,String A
317,Large Language Model-Based Agents for Software Engineering: A Survey,"Liu, Junwei; Wang, Kaixin; Chen, Yixuan; Peng, Xin; Chen, Zhenpeng; Zhang, Lingming; Lou, Yiling",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B"
318,Large Language Models Are Zero-Shot Fuzzers: Fuzzing Deep-Learning Libraries via Large Language Models,"Deng, Yinlin; Xia, Chunqiu Steven; Peng, Haoran; Yang, Chenyuan; Zhang, Lingming",2023,Proceedings of the 32nd ACM SIGSOFT International Symposium on Software Testing and Analysis,"String A, String B"
319,Large Language Models Can Connect the Dots: Exploring Model Optimization Bugs with Domain Knowledge-Aware Prompts,"Guan, Hao; Bai, Guangdong; Liu, Yepang",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,"String A, String B"
320,Large Language Models for Automated Web-Form-Test Generation: An Empirical Study,"Li, Tao; Cui, Chenhui; Huang, Rubing; Towey, Dave; Ma, Lei",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B"
321,Large Language Models for Combinatorial Optimization: A Systematic Review,"Da Ros, Francesca; Soprano, Michael; Di Gaspero, Luca; Roitero, Kevin",2026,ACM Computing Surveys,String A
322,Large Language Models for Constructing and Optimizing Machine Learning Workflows: A Survey,"Gu, Yang; You, Hengyu; Cao, Jian; Yu, Muran; Fan, Haoran; Qian, Shiyou",2025,ACM Transactions on Software Engineering and Methodology,String A
323,Large Language Models for Cyber Security: A Systematic Literature Review,"Xu, Hanxiang; Wang, Shenao; Li, Ningke; Wang, Kailong; Zhao, Yanjie; Chen, Kai; Yu, Ting; Liu, Yang; Wang, Haoyu",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B"
324,Large Language Models for EDA: Future or Mirage?,"He, Zhuolun; Pu, Yuan; Wu, Haoyuan; Qiu, Tairu; Yu, Bei",2025,ACM Transactions on Design Automation of Electronic Systems,"String A, String B"
325,Large Language Models for Equivalent Mutant Detection: How Far Are We?,"Tian, Zhao; Shu, Honglin; Wang, Dong; Cao, Xuejie; Kamei, Yasutaka; Chen, Junjie",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,"String A, String B, String C"
326,Large Language Models for Software Engineering: A Systematic Literature Review,"Hou, Xinyi; Zhao, Yanjie; Liu, Yue; Yang, Zhou; Wang, Kailong; Li, Li; Luo, Xiapu; Lo, David; Grundy, John; Wang, Haoyu",2024,ACM Transactions on Software Engineering and Methodology,"String A, String B"
327,Large Language Models for Test-Free Fault Localization,"Yang, Aidan Z. H.; Le Goues, Claire; Martins, Ruben; Hellendoorn, Vincent",2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,String B
328,Large Language Models in Computer Science Education: A Systematic Literature Review,"Raihan, Nishat; Siddiq, Mohammed Latif; Santos, Joanna C.S.; Zampieri, Marcos",2025,Proceedings of the 56th ACM Technical Symposium on Computer Science Education V. 1,String A
329,Late Breaking Results: LLM-assisted Automated Incremental Proof Generation for Hardware Verification,"Qayyum, Khushboo; Hassan, Muhammad; Ahmadi-Pour, Sallar; Jha, Chandan Kumar; Drechsler, Rolf",2024,Proceedings of the 61st ACM/IEEE Design Automation Conference,String B
330,Learning to Detect and Localize Multilingual Bugs,"Yang, Haoran; Nong, Yu; Zhang, Tao; Luo, Xiapu; Cai, Haipeng",2024,Proceedings of the ACM on Software Engineering,String B
331,Less Is More: Failing Test Generation with Large Language Models,"Li, Tsz-On; Yan, Xiaochuan; Zong, Wenxi; Wang, Yibo; Tian, Haoye; Xu, Congying; Wang, Ying; Cheung, Shing-Chi; Kramer, Jeff",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B, String C"
332,Less Is More: On the Importance of Data Quality for Unit Test Generation,"Zhang, Junwei; Hu, Xing; Gao, Shan; Xia, Xin; Lo, David; Li, Shanping",2025,Proceedings of the ACM on Software Engineering,"String A, String B, String C"
333,Less Is More: Unlocking Semi-Supervised Deep Learning for Vulnerability Detection,"Yu, Xiao; Lin, Guancheng; Hu, Xing; Keung, Jacky Wai; Xia, Xin",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B"
334,Leveraging GPT-4 for Vulnerability-Witnessing Unit Test Generation,"Antal, Gábor; Bán, Dénes; Isztin, Martin; Ferenc, Rudolf; Hegedus, Péter",2025,Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering,"String A, String B"
335,Leveraging LLM Enhanced Commit Messages to Improve Machine Learning Based Test Case Prioritization,"Mahmoud, Yara; Azim, Akramul; Liscano, Ramiro; Smith, Kevin; Chang, Yee-Kang; Tauseef, Qasim; Seferi, Gkerta",2025,Proceedings of the 21st International Conference on Predictive Models and Data Analytics in Software Engineering,String B
336,Leveraging Large Language Models for Preliminary Security Risk Analysis: A Mission-Critical Case Study,"Esposito, Matteo; Palagiano, Francesco",2024,Proceedings of the 28th International Conference on Evaluation and Assessment in Software Engineering,String A
337,Leveraging Large Language Models to Improve REST API Testing,"Kim, Myeongsoo; Stennett, Tyler; Shah, Dhruv; Sinha, Saurabh; Orso, Alessandro",2024,Proceedings of the 2024 ACM/IEEE 44th International Conference on Software Engineering: New Ideas and Emerging Results,String B
338,Leveraging Search-Based and Pre-Trained Code Language Models for Automated Program Repair,"Lijzenga, Oebele; Hemati Moghadam, Iman; Zaytsev, Vadim",2025,Proceedings of the 40th ACM/SIGAPP Symposium on Applied Computing,String B
339,Liberating Libraries through Automated Fuzz Driver Generation: Striking a Balance without Consumer Code,"Toffalini, Flavio; Badoux, Nicolas; Tsinadze, Zurab; Payer, Mathias",2025,Proceedings of the ACM on Software Engineering,"String A, String B"
340,LifeFuzz: Lifecycle-Guided Fuzzing for Windows Driver Cross-Handler Vulnerabilities,"Yu, Chendong; Li, Yuekang; Xiao, Yang; Lu, Jie; Li, Yeting; Bo, Defang; Huo, Wei",2026,Proceedings of the 21st European Conference on Computer Systems,String B
341,LlamaRestTest: Effective REST API Testing with Small Language Models,"Kim, Myeongsoo; Sinha, Saurabh; Orso, Alessandro",2025,Proceedings of the ACM on Software Engineering,"String A, String B, String C"
342,LogBase: A Large-Scale Benchmark for Semantic Log Parsing,"Zhang, Chenbo; Xu, Wenying; Liu, Jinbu; Zhang, Lu; Liu, Guiyang; Guan, Jihong; Zhou, Qi; Zhou, Shuigeng",2025,Proceedings of the ACM on Software Engineering,String A
343,MEIC: Re-thinking RTL Debug Automation using LLMs,"Xu, Ke; Sun, Jialin; Hu, Yuchen; Fang, Xinwei; Shan, Weiwei; Wang, Xi; Jiang, Zhe",2024,Proceedings of the 43rd IEEE/ACM International Conference on Computer-Aided Design,String B
344,MFTCoder: Boosting Code LLMs with Multitask Fine-Tuning,"Liu, Bingchang; Chen, Chaoyu; Gong, Zi; Liao, Cong; Wang, Huan; Lei, Zhichao; Liang, Ming; Chen, Dajun; Shen, Min; Zhou, Hailian; Jiang, Wei; Yu, Hang; Li, Jianguo",2024,Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,String A
345,MQueez: Specification-Driven Fuzzing for MQTT Broker (Registered Report),"Liu, Xinpeng; Wang, Qinying; Liu, Peiyu; Wang, Wenhai; Ji, Shouling",2025,Proceedings of the 34th ACM SIGSOFT International Symposium on Software Testing and Analysis,String A
346,MR-Adopt: Automatic Deduction of Input Transformation Function for Metamorphic Testing,"Xu, Congying; Chen, Songqiang; Wu, Jiarong; Cheung, Shing-Chi; Terragni, Valerio; Zhu, Hengcheng; Cao, Jialun",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,"String A, String B, String C"
347,MR-Scout: Automated Synthesis of Metamorphic Relations from Existing Test Cases,"Xu, Congying; Terragni, Valerio; Zhu, Hengcheng; Wu, Jiarong; Cheung, Shing-Chi",2024,ACM Transactions on Software Engineering and Methodology,"String A, String C"
348,MTF: an Open-Source Metamorphic Testing Framework for LLM-based systems,"Henry, Theis; Savourat, Sian; Du Bousquet, Lydie; Nakamura, Masahide",2025,Proceedings of the 2025 5th International Conference on Artificial Intelligence and Application Technologies,String A
349,Magneto: A Step-Wise Approach to Exploit Vulnerabilities in Dependent Libraries via LLM-Empowered Directed Fuzzing,"Zhou, Zhuotong; Yang, Yongzhuo; Wu, Susheng; Huang, Yiheng; Chen, Bihuan; Peng, Xin",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,String B
350,Make LLM a Testing Expert: Bringing Human-like Interaction to Mobile GUI Testing via Functionality-aware Decisions,"Liu, Zhe; Chen, Chunyang; Wang, Junjie; Chen, Mengzhuo; Wu, Boyu; Che, Xing; Wang, Dandan; Wang, Qing",2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,"String A, String B"
351,Mapping the Trust Terrain: LLMs in Software Engineering - Insights and Perspectives,"Khati, Dipin; Liu, Yijin; Palacio, David N.; Zhang, Yixuan; Poshyvanyk, Denys",2025,ACM Transactions on Software Engineering and Methodology,String A
352,MeTMaP: Metamorphic Testing for Detecting False Vector Matching Problems in LLM Augmented Generation,"Wang, Guanyu; Li, Yuekang; Liu, Yi; Deng, Gelei; Li, Tianlin; Xu, Guosheng; Liu, Yang; Wang, Haoyu; Wang, Kailong",2024,Proceedings of the 2024 IEEE/ACM First International Conference on AI Foundation Models and Software Engineering,String A
353,Measuring What Matters: An Aggregate Metric for Assessing Enterprise Code Summaries,"Saxena, Ashita; Kodeswaran, Palanivel; Sen, Sayandeep; Tamilselvam, Srikanth",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String A
354,Metamorphic Relation Generation: State of the Art and Research Directions,"Li, Rui; Liu, Huai; Poon, Pak-Lok; Towey, Dave; Sun, Chang-Ai; Zheng, Zheng; Zhou, Zhi Quan; Chen, Tsong Yueh",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B"
355,Metamorphic Testing for Infrastructure-as-Code Engines,"Spielmann, David; Zakhour, George; Arnold, Dominik; Biagiola, Matteo; Meier, Roland; Salvaneschi, Guido",2026,Proceedings of the ACM on Programming Languages,String A
356,Metamorphic Testing of a Steer-by-Wire System: An Intercultural Students-as-Partners Collaboration Experience,"Zhang, Yifan; Towey, Dave; Pike, Matthew; Qiu, Rui; Jaya, Axel Tan; Huey, Sze; Zhang, Xinyi; Wu, Yuan",2024,Proceedings of the 9th ACM International Workshop on Metamorphic Testing,String A
357,Migrating Code At Scale With LLMs At Google,"Ziftci, Celal; Nikolov, Stoyan; Sjövall, Anna; Kim, Bo; Codecasa, Daniele; Kim, Max",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String A
358,Mining for Mutation Operators for Reduction of Information Flow Control Violations,"Kosorukov, Ilya; Blackwell, Daniel; Clark, David; Cohen, Myra B.; Petke, Justyna",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,String A
359,Mitigating Cognitive Vulnerabilities in Code Generation via Multi-Agent Adversarial Debate,"Liu, Shuofu; Guo, Quanjiang; Liu, Xiao; Liu, Ying",2026,Proceedings of the ACM Web Conference 2026,String A
360,Mocking Temporal Logic,"Gordon, Colin S.",2024,Proceedings of the 2024 ACM SIGPLAN International Symposium on SPLASH-E,String A
361,Morescient GAI for Software Engineering,"Kessel, Marcus; Atkinson, Colin",2025,ACM Transactions on Software Engineering and Methodology,String B
362,MultiMind: A Plug-in for the Implementation of Development Tasks Aided by AI Assistants,"Donato, Benedetta; Mariani, Leonardo; Micucci, Daniela; Riganelli, Oliviero; Somaschini, Marco",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,String A
363,Mutation Testing for Task-Oriented Chatbots,"Gómez-Abajo, Pablo; Pérez-Soler, Sara; Cañizares, Pablo C.; Guerra, Esther; De Lara, Juan",2024,Proceedings of the 28th International Conference on Evaluation and Assessment in Software Engineering,String B
364,Mutation-Guided LLM-based Test Generation at Meta,"Harman, Mark; Ritchey, Jillian; Harper, Inna; Sengupta, Shubho; Mao, Ke; Gulati, Abhishek; Foster, Christopher; Robert, Hervé",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,"String A, String B, String C"
365,NL2Code-Reasoning and Planning with LLMs for Code Development,"Xing, Ye; Huan, Jun; Tok, Wee Hyong; Shen, Cong; Gehrke, Johannes; Lin, Katherine; Guha, Arjun; Tripp, Omer; Ramanathan, Murali Krishna",2024,Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,String A
366,NLPLego: Assembling Test Generation for Natural Language Processing Applications,"Ji, Pin; Feng, Yang; Zhang, Ruohao; Xue, Ruichen; Zhang, Yichi; Huang, Weitao; Liu, Jia; Zhao, Zhihong",2025,ACM Transactions on Software Engineering and Methodology,String A
367,Natural Symbolic Execution-Based Testing for Big Data Analytics,"Wu, Yaoxuan; Humayun, Ahmad; Gulzar, Muhammad Ali; Kim, Miryung",2024,Proceedings of the ACM on Software Engineering,"String A, String B, String C"
368,Needle in a Haystack: Automated and Scalable Vulnerability Hunting in the Windows ALPC Sea,"Liu, Haoyi; Dong, Feng; Tian, Yunpeng; Zhang, Mu; Li, Xuefeng; Gu, Fangming; Peng, Zhiniang; Wang, Haoyu",2025,Proceedings of the 2025 ACM SIGSAC Conference on Computer and Communications Security,String B
369,NeuRI: Diversifying DNN Generation via Inductive Rule Inference,"Liu, Jiawei; Peng, Jinjun; Wang, Yuyao; Zhang, Lingming",2023,Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,"String A, String B, String C"
370,"Not All Problems Are Nails, Not All Tools Should Be Hammers: A Position Paper on Agent Usage in Software Engineering Tasks","Rytilahti, Juuso; Puhtila, Panu; Weerakoon, Oshani; Kaila, Erkki; Mäkilä, Tuomas",2026,Proceedings of the 2026 International Workshop on Agentic Engineering,String A
371,Novice Developers’ Perspectives on Adopting LLMs for Software Development: A Systematic Literature Review,"Ferino, Samuel; Hoda, Rashina; Grundy, John; Treude, Christoph",2026,ACM Transactions on Software Engineering and Methodology,String B
372,OBsmith: LLM-Powered JavaScript Obfuscator Testing,"Jiang, Shan; Zhu, Chenguang; Khurshid, Sarfraz",2026,Proceedings of the ACM on Programming Languages,String A
373,OZZ: Identifying Kernel Out-of-Order Concurrency Bugs with In-Vivo Memory Access Reordering,"Jeong, Dae R.; Choi, Yewon; Lee, Byoungyoung; Shin, Insik; Kwon, Youngjin",2024,Proceedings of the ACM SIGOPS 30th Symposium on Operating Systems Principles,String B
374,Observation-Based Unit Test Generation at Meta,"Alshahwan, Nadia; Harman, Mark; Marginean, Alexandru; Tal, Rotem; Wang, Eddy",2024,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering,String A
375,Odyssey: An Interactive Workbench for Expert-Driven Floating-Point Expression Rewriting,"Misback, Edward; Chan, Caleb C.; Saiki, Brett; Jun, Eunice; Tatlock, Zachary; Panchekha, Pavel",2023,Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology,String A
376,On the Evaluation of Large Language Models in Unit Test Generation,"Yang, Lin; Yang, Chen; Gao, Shutao; Wang, Weijing; Wang, Bo; Zhu, Qihao; Chu, Xiao; Zhou, Jianyi; Liang, Guangtai; Wang, Qianxiang; Chen, Junjie",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,"String A, String B, String C"
