sample_index,class_key,project,repo_id,focal_class,focal_path,module,scope_key,build_tool,java_version,complexity_half,nloc,token_count,method_count,public_method_count,max_method_cc,sum_method_cc,avg_method_cc,selection_rank_in_repo,original_manifest_index,split_name,evosuite_branch_coverage,gpt_branch_coverage,evosuite_compilation,gpt_compilation,evosuite_line_coverage,gpt_line_coverage,evosuite_method_coverage,gpt_method_coverage,evosuite_mutation_coverage,gpt_mutation_coverage,evosuite_strict_branch_coverage,gpt_strict_branch_coverage,evosuite_strict_line_coverage,gpt_strict_line_coverage,evosuite_strict_method_coverage,gpt_strict_method_coverage,evosuite_strict_mutation_coverage,gpt_strict_mutation_coverage,strict_mutation_diff_gpt_minus_evosuite,rq4_wilcoxon_shifted_value,strict_branch_diff_gpt_minus_evosuite
22,39195736:sonar-jproperties-plugin/src/main/java/org/sonar/plugins/jproperties/javapropertiessquidsensor.java,39195736,39195736,JavaPropertiesSquidSensor,sonar-jproperties-plugin/src/main/java/org/sonar/plugins/jproperties/JavaPropertiesSquidSensor.java,sonar-jproperties-plugin,maven:sonar-jproperties-plugin,Maven,1.8,higher_complexity_half,169,1406,12,2,4,25,2.0833333333333335,6,159,remaining240,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
23,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/hardcodedcredentialscheck.java,39195736,39195736,HardCodedCredentialsCheck,jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/HardCodedCredentialsCheck.java,jproperties-checks,maven:jproperties-checks,Maven,1.8,higher_complexity_half,64,508,4,2,10,14,3.5,8,260,remaining240,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
24,41547678:turin-compiler/src/main/java/me/tomassetti/turin/typesystem/voidtypeusage.java,41547678,41547678,VoidTypeUsage,turin-compiler/src/main/java/me/tomassetti/turin/typesystem/VoidTypeUsage.java,turin-compiler,maven:turin-compiler,Maven,1.8,lower_complexity_half,46,199,10,10,1,10,1.0,4,36,remaining240,,,1,0,100.0,,100.0,,0.0,,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0.0
25,41547678:turin-standard-library/src/main/java/turin/relations/onetomanyrelation.java,41547678,41547678,OneToManyRelation,turin-standard-library/src/main/java/turin/relations/OneToManyRelation.java,turin-standard-library,maven:turin-standard-library,Maven,1.8,lower_complexity_half,57,414,9,9,4,13,1.4444444444444444,9,143,remaining240,100.0,,1,0,100.0,,100.0,,21.43,,100.0,0.0,100.0,0.0,100.0,0.0,21.43,0.0,-21.43,-16.43,-100.0
26,41547678:turin-compiler/src/main/java/me/tomassetti/turin/typesystem/arraytypeusage.java,41547678,41547678,ArrayTypeUsage,turin-compiler/src/main/java/me/tomassetti/turin/typesystem/ArrayTypeUsage.java,turin-compiler,maven:turin-compiler,Maven,1.8,higher_complexity_half,89,508,16,15,5,24,1.5,7,187,remaining240,100.0,,1,0,96.55,,94.12,,22.58,,100.0,0.0,96.55,0.0,94.12,0.0,22.58,0.0,-22.58,-17.58,-100.0
27,41547678:turin-compiler/src/main/java/me/tomassetti/turin/typesystem/invokablereferencetypeusage.java,41547678,41547678,InvokableReferenceTypeUsage,turin-compiler/src/main/java/me/tomassetti/turin/typesystem/InvokableReferenceTypeUsage.java,turin-compiler,maven:turin-compiler,Maven,1.8,higher_complexity_half,128,829,16,15,6,27,1.6875,8,204,remaining240,86.36,,1,0,75.0,,72.22,,20.0,,86.36,0.0,75.0,0.0,72.22,0.0,20.0,0.0,-20.0,-15.0,-86.36
28,41547678:turin-compiler/src/main/java/me/tomassetti/turin/typesystem/primitivetypeusage.java,41547678,41547678,PrimitiveTypeUsage,turin-compiler/src/main/java/me/tomassetti/turin/typesystem/PrimitiveTypeUsage.java,turin-compiler,maven:turin-compiler,Maven,1.8,higher_complexity_half,201,1276,32,28,6,56,1.75,6,212,remaining240,94.12,,1,0,96.63,,100.0,,19.35,,94.12,0.0,96.63,0.0,100.0,0.0,19.35,0.0,-19.35,-14.350000000000001,-94.12
29,41547678:turin-compiler/src/main/java/me/tomassetti/turin/compiler/paramutils.java,41547678,41547678,ParamUtils,turin-compiler/src/main/java/me/tomassetti/turin/compiler/ParamUtils.java,turin-compiler,maven:turin-compiler,Maven,1.8,higher_complexity_half,82,794,7,6,7,19,2.7142857142857144,2,220,remaining240,64.29,,1,0,33.33,,77.78,,3.23,,64.29,0.0,33.33,0.0,77.78,0.0,3.23,0.0,-3.23,1.77,-64.29
30,41547678:turin-compiler/src/main/java/me/tomassetti/turin/parser/ast/qualifiedname.java,41547678,41547678,QualifiedName,turin-compiler/src/main/java/me/tomassetti/turin/parser/ast/QualifiedName.java,turin-compiler,maven:turin-compiler,Maven,1.8,higher_complexity_half,96,602,14,12,7,30,2.142857142857143,5,227,remaining240,100.0,77.78,1,1,100.0,88.64,100.0,85.71,42.86,82.86,100.0,77.78,100.0,88.64,100.0,85.71,42.86,82.86,40.0,45.0,-22.22
31,41547678:turin-compiler/src/main/java/me/tomassetti/turin/parser/ast/turintypedefinition.java,41547678,41547678,TurinTypeDefinition,turin-compiler/src/main/java/me/tomassetti/turin/parser/ast/TurinTypeDefinition.java,turin-compiler,maven:turin-compiler,Maven,1.8,higher_complexity_half,438,3727,54,44,9,109,2.0185185185185186,10,259,remaining240,43.55,,1,0,57.92,,66.67,,17.65,,43.55,0.0,57.92,0.0,66.67,0.0,17.65,0.0,-17.65,-12.649999999999999,-43.55
32,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/singlenumber/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board/src/main/java/com/github/SingleNumber/Solution.java,leetcode/battleships-in-a-board,gradle:leetcode/battleships-in-a-board,Gradle,1.8,lower_complexity_half,16,152,1,1,1,1,1.0,9,3,remaining240,,100.0,0,1,,100.0,,100.0,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,105.0,100.0
33,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/invertbinarytree/solution.java,41627638,41627638,Solution,leetcode/battleships-in-a-board/src/main/java/com/github/InvertBinaryTree/Solution.java,leetcode/battleships-in-a-board,gradle:leetcode/battleships-in-a-board,Gradle,1.8,lower_complexity_half,12,68,1,1,2,2,2.0,3,39,remaining240,,,0,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
