sample_index,class_key,project,repo_id,focal_class,module,complexity_half,gpt_strict_mutation_coverage,evosuite_strict_mutation_coverage,strict_mutation_diff_gpt_minus_evosuite,rq4_wilcoxon_shifted_value
56,45997449:webrex/src/main/java/com/ebayopensource/webrex/resource/resourcefactory.java,45997449,45997449,ResourceFactory,WebRex,lower_complexity_half,0.0,7.69,-7.69,-2.6900000000000004
57,45997449:webrex/src/main/java/com/ebayopensource/webrex/util/xmls.java,45997449,45997449,Xmls,WebRex,lower_complexity_half,100.0,46.15,53.85,58.85
58,45997449:webrex/src/main/java/com/ebayopensource/webrex/util/reflects.java,45997449,45997449,Reflects,WebRex,higher_complexity_half,0.0,38.1,-38.1,-33.1
59,45997449:webrex/src/main/java/com/ebayopensource/webrex/resource/resourceargumentsurn.java,45997449,45997449,ResourceArgumentsUrn,WebRex,higher_complexity_half,0.0,11.76,-11.76,-6.76
60,45997449:webrex/src/main/java/com/ebayopensource/webrex/util/splitters.java,45997449,45997449,Splitters,WebRex,higher_complexity_half,76.09,39.13,36.96,41.96
61,45997449:webrex/src/main/java/com/ebayopensource/webrex/util/joiners.java,45997449,45997449,Joiners,WebRex,higher_complexity_half,96.0,28.0,68.0,73.0
62,45997449:webrex/src/main/java/com/ebayopensource/webrex/resource/cache/resourcecache.java,45997449,45997449,ResourceCache,WebRex,higher_complexity_half,0.0,21.43,-21.43,-16.43
63,45997449:webrex/src/main/java/com/ebayopensource/webrex/resource/resourceurn.java,45997449,45997449,ResourceUrn,WebRex,higher_complexity_half,62.5,15.62,46.88,51.88
64,46396068:hbase0.98/hbase-manager-0.98/src/main/java/com/kakao/hbase/manager/command/assign.java,46396068,46396068,Assign,hbase0.98/hbase-manager-0.98,lower_complexity_half,0.0,0.0,0.0,5.0
65,46396068:hbase0.98/hbase-table-stat-0.98/src/main/java/com/kakao/hbase/stat/print/formatter.java,46396068,46396068,Formatter,hbase0.98/hbase-table-stat-0.98,lower_complexity_half,0.0,0.0,0.0,5.0
66,46396068:hbase0.98/hbase-common-0.98/src/main/java/com/kakao/hbase/common/util/decimalstringsplit.java,46396068,46396068,DecimalStringSplit,hbase0.98/hbase-common-0.98,lower_complexity_half,31.58,36.84,-5.260000000000005,-0.2600000000000051
67,46396068:hbase0.98/hbase-manager-0.98/src/main/java/com/kakao/hbase/manager/manager.java,46396068,46396068,Manager,hbase0.98/hbase-manager-0.98,higher_complexity_half,0.0,0.0,0.0,5.0
68,46396068:hbase0.98/hbase-manager-0.98/src/main/java/com/kakao/hbase/manager/command/balance.java,46396068,46396068,Balance,hbase0.98/hbase-manager-0.98,higher_complexity_half,0.0,0.0,0.0,5.0
69,46396068:hbase0.98/hbase-table-stat-0.98/src/main/java/com/kakao/hbase/stat/load/loadio.java,46396068,46396068,LoadIO,hbase0.98/hbase-table-stat-0.98,higher_complexity_half,0.0,0.0,0.0,5.0
70,46396068:hbase0.98/hbase-common-0.98/src/main/java/com/kakao/hbase/common/util/util.java,46396068,46396068,Util,hbase0.98/hbase-common-0.98,higher_complexity_half,0.0,15.62,-15.62,-10.62
71,46396068:hbase0.98/hbase-snapshot-0.98/src/main/java/com/kakao/hbase/snapshot/snapshot.java,46396068,46396068,Snapshot,hbase0.98/hbase-snapshot-0.98,higher_complexity_half,0.0,0.0,0.0,5.0
72,46450575:flo-workflow/src/main/java/com/spotify/flo/evalcontextwithtask.java,46450575,46450575,EvalContextWithTask,flo-workflow,lower_complexity_half,0.0,0.0,0.0,5.0
73,46450575:contrib/flo-styx/src/main/java/com/spotify/flo/contrib/styx/structuredlogging.java,46450575,46450575,StructuredLogging,contrib/flo-styx,lower_complexity_half,0.0,0.0,0.0,5.0
74,46450575:flo-workflow/src/main/java/com/spotify/flo/context/forwardingevalcontext.java,46450575,46450575,ForwardingEvalContext,flo-workflow,lower_complexity_half,0.0,0.0,0.0,5.0
75,46450575:contrib/flo-bigquery/src/main/java/com/spotify/flo/contrib/bigquery/bigqueryoperator.java,46450575,46450575,BigQueryOperator,contrib/flo-bigquery,lower_complexity_half,0.0,0.0,0.0,5.0
76,46450575:flo-workflow/src/main/java/com/spotify/flo/serialization.java,46450575,46450575,Serialization,flo-workflow,lower_complexity_half,0.0,0.0,0.0,5.0
77,46450575:contrib/flo-bigquery/src/main/java/com/spotify/flo/contrib/bigquery/bigqueryoutput.java,46450575,46450575,BigQueryOutput,contrib/flo-bigquery,lower_complexity_half,0.0,0.0,0.0,5.0
78,46450575:contrib/flo-styx/src/main/java/com/spotify/flo/contrib/styx/terminationlogging.java,46450575,46450575,TerminationLogging,contrib/flo-styx,lower_complexity_half,0.0,0.0,0.0,5.0
79,46450575:flo-workflow/src/main/java/com/spotify/flo/context/memoizingcontext.java,46450575,46450575,MemoizingContext,flo-workflow,lower_complexity_half,0.0,0.0,0.0,5.0
80,48046454:hazelcast-jet-core/src/main/java/com/hazelcast/jet/core/resettablesingletontraverser.java,48046454,48046454,ResettableSingletonTraverser,hazelcast-jet-core,lower_complexity_half,100.0,0.0,100.0,105.0
81,48046454:hazelcast-jet-core/src/main/java/com/hazelcast/jet/core/slidingwindowpolicy.java,48046454,48046454,SlidingWindowPolicy,hazelcast-jet-core,lower_complexity_half,59.26,22.22,37.04,42.04
82,48046454:hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/processor/insertwatermarksp.java,48046454,48046454,InsertWatermarksP,hazelcast-jet-core,lower_complexity_half,0.0,14.29,-14.29,-9.29
83,48046454:hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/serialization/delegatingserializationservice.java,48046454,48046454,DelegatingSerializationService,hazelcast-jet-core,higher_complexity_half,0.0,0.0,0.0,5.0
84,48046454:hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/util/reflectionutils.java,48046454,48046454,ReflectionUtils,hazelcast-jet-core,higher_complexity_half,0.0,2.56,-2.56,2.44
85,48046454:hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/connector/writefilep.java,48046454,48046454,WriteFileP,hazelcast-jet-core,higher_complexity_half,0.0,0.0,0.0,5.0
86,48046454:hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/connector/streamfilesp.java,48046454,48046454,StreamFilesP,hazelcast-jet-core,higher_complexity_half,0.0,0.0,0.0,5.0
87,48046454:hazelcast-jet-core/src/main/java/com/hazelcast/jet/config/jobconfig.java,48046454,48046454,JobConfig,hazelcast-jet-core,higher_complexity_half,0.0,0.0,0.0,5.0
88,49384652:niubi-job-framework/niubi-job-core/src/main/java/com/zuoxiaolong/niubi/job/core/helper/jsonhelper.java,49384652,49384652,JsonHelper,niubi-job-framework/niubi-job-core,lower_complexity_half,0.0,0.0,0.0,5.0
89,49384652:niubi-job-framework/niubi-job-service/src/main/java/com/zuoxiaolong/niubi/job/service/impl/masterslavejobsummaryserviceimpl.java,49384652,49384652,MasterSlaveJobSummaryServiceImpl,niubi-job-framework/niubi-job-service,lower_complexity_half,0.0,0.0,0.0,5.0
90,49384652:niubi-job-framework/niubi-job-service/src/main/java/com/zuoxiaolong/niubi/job/service/impl/standbyjobsummaryserviceimpl.java,49384652,49384652,StandbyJobSummaryServiceImpl,niubi-job-framework/niubi-job-service,lower_complexity_half,0.0,0.0,0.0,5.0
91,49384652:niubi-job-framework/niubi-job-service/src/main/java/com/zuoxiaolong/niubi/job/service/impl/standbynodeserviceimpl.java,49384652,49384652,StandbyNodeServiceImpl,niubi-job-framework/niubi-job-service,lower_complexity_half,0.0,0.0,0.0,5.0
92,49384652:niubi-job-framework/niubi-job-service/src/main/java/com/zuoxiaolong/niubi/job/service/impl/masterslavenodeserviceimpl.java,49384652,49384652,MasterSlaveNodeServiceImpl,niubi-job-framework/niubi-job-service,higher_complexity_half,0.0,0.0,0.0,5.0
